geneid	Bd21_D2_mock_R1	Bd21_D2_mock_R2	Bd21_D2_mock_R3	Bd21_D2_treated_R1	Bd21_D2_treated_R2	Bd21_D2_treated_R3	Bd21_D4_mock_R1	Bd21_D4_mock_R2	Bd21_D4_mock_R3	Bd21_D4_treated_R1	Bd21_D4_treated_R2	Bd21_D4_treated_R3	Bd21_D6_mock_R1	Bd21_D6_mock_R2	Bd21_D6_mock_R3	Bd21_D6_treated_R1	Bd21_D6_treated_R2	Bd21_D6_treated_R3
BdiBd21-3.1G1020700	30.8776756856449	30.4648685437333	22.0850072415915	32.2259457394807	24.4586335411264	15.0385410987528	20.4406661200729	19.8552634731414	18.1389190276889	25.289062381092	27.3588729724326	35.9145589233266	17.7778847682761	30.4828915676326	27.5132135266884	37.0956740174131	35.2190803402116	35.5916296133194
BdiBd21-3.3G0222500	4.24264228982178	4.34327765959385	5.1604972632079	4.81890658154107	4.37813405180008	10.1527794090387	4.92715334534788	5.08933376343041	6.68294440473214	14.9430324050534	5.05066099476494	5.21376547242667	5.4853969582366	6.31358491648084	7.97758342819421	5.73817313925384	6.19836892011171	7.04381512233529
BdiBd21-3.3G0417100	21.6746582157971	20.8812000586459	17.234292601101	18.3905270223234	17.3794366783293	23.6229859890063	27.9183564315348	29.7982943769181	26.8440366414327	21.644552597448	17.3293713858976	19.5439942130691	36.6016306642891	23.8990612764544	24.5493243979522	28.6015943746938	20.4797842055384	28.296660182557
BdiBd21-3.4G0337332	11.2605818985641	6.92297030039171	5.79159428606022	9.45063964745425	10.9387692937685	8.64769282093603	13.8444208244174	17.7943867942936	11.3046283601552	7.84593715444986	6.0037016570124	7.95806190691683	22.9097617627711	9.68378652246885	14.9094484039	15.4470374798476	10.3959402607624	14.3794545287
BdiBd21-3.4G0337600	0.0158923117405105	0.0366856245636425	0.0135548964201344	0.039615552707859	0.0597369878897081	0.0273917128870182	0.0178360062832459	0.02357363114929	0.0164504695564289	0.146903750773327	0.0652706553410506	0.0218053351503457	0.0319319059070243	0	0.0577567687373627	0.0908026603010657	0.0868321991990013	0.107981691913664
BdiBd21-3.4G0573600	5.98338658268424	5.35158666428393	5.31668355460328	6.80051102512036	6.47757455012656	8.400615883195	6.02422825414786	5.93593884005871	6.31301992050534	9.73276616225938	6.49251917257044	6.9029393575022	7.2867822897072	6.8248249120605	7.04445731138753	8.52532775515683	6.85900177501899	6.69298247154036
BdiBd21-3.4G0315600	48.5121570699373	25.5663011390746	25.9095590763335	57.4471740950298	49.3093157699559	40.3024032243747	65.0038363673439	67.2806681145076	44.7642743290934	36.5976207885978	73.4721331928278	52.3572660164544	83.4014737474199	89.0780374540072	90.9305201366281	64.3833519772506	56.432511642446	75.9514118481105
BdiBd21-3.4G0315800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BdiBd21-3.4G0315900	0.077140957826021	0.178071275185939	0.328975957102663	0.365356864886621	0.124269481603853	0.155118619847021	0.129863417381874	0.171638888915522	0.199625611268993	0	0	0	0.193746026938864	0.174853981223791	0.210262635201413	0.146918088510262	0.105370432032181	0.0524140935434905
BdiBd21-3.F0000400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
