gene_a	gene_b	score
1302279500	3202477100	3.0986848
1302279500	3302089900	3.0289915
1302279500	3302195500	3.2898054
1302279500	3302348500	3.0744903
1302279500	3302435900	3.165708
1302279500	3302493700	3.027424
1302279500	4102106400	3.087007
1302279500	4102169200	3.0376
1302279500	4102192500	3.0760696
1302279500	4102293000	3.124779
1302279500	4102335300	3.0838084
1302279500	4202046300	3.3610783
1302279500	4202059100	3.0215747
1302279500	4202062500	3.0050814
1302279500	4202088800	3.1125913
1302279500	4202144200	3.0740454
1302279500	4202356800	3.002214
1302279500	4202373400	3.0010414
1302279500	4302091000	3.0529113
1302279500	4302094500	3.0826426
1302279500	4302151100	3.1825564
1302279500	4302227900	3.0302725
1302279500	5102038500	3.1810503
1302279500	5102084500	3.114844
1302279500	5102210100	3.0471041
1302279500	5102533300	3.00984
1302279500	5202023300	3.0647192
1302279500	5202141400	3.0010438
1302279500	5202208100	3.142246
1302279500	5202326500	3.2952213
1302279500	5202362100	3.0242765
1302279500	5202374900	3.1856525
1302279500	5202420300	3.11934
1302279500	5202492500	3.3930707
1302279500	5202509700	3.0697758
1302279500	5202515500	3.2457523
1302279500	5302020900	3.0029285
1302279500	5302021700	3.034805
1302279500	5302031800	3.1749165
1302279500	5302128300	3.0091991
1302279500	5302286500	3.5271335
1302279500	5302378100	3.063333
1302279500	5302382400	3.2251678
1302279500	5302459900	3.5228584
1302279500	5302492900	3.2981734
1302279500	6102263400	3.426008
1302279500	6102287800	3.2214377
1302279500	6102406400	3.0845556
1302279500	6202317200	3.3155944
1302279500	6302198700	3.5195608
1302279500	6302227900	3.2436674
1302279500	6302268500	3.52492
1302279500	7102067800	3.1555395
1302279500	7102078000	3.0046656
1302279500	7102276500	3.0908816
1302279500	7102517000	3.075519
1302279500	7202122800	3.5782113
1302279500	7202259000	3.0900278
1302279500	7202331600	3.0402036
1302279500	7302012000	3.4953234
1302279500	7302030000	3.1063373
1302279500	7302044100	3.0680292
1302279500	7302246300	3.00018
1302279500	7302256800	3.0053372
1302279500	7302340200	3.166023
1302279500	7302451700	3.2018359
1302279500	502116100	3.6726322
1302279500	502137700	3.0191374
