geneid,cluster
TRAESCS1B02G363800,0
TRAESCS1B02G364200,0
TRAESCS1B02G364500,0
TRAESCS1B02G371300,0
TRAESCS1B02G372400,0
TRAESCS1B02G374200,0
TRAESCS1B02G381000,0
TRAESCS1B02G391900,0
TRAESCS1B02G395100,0
TRAESCS1B02G410800,0
TRAESCS1B02G411700,0
TRAESCS1B02G411900,0
TRAESCS1B02G419100,0
TRAESCS1B02G423600,0
TRAESCS1B02G424400,0
TRAESCS1B02G424900,0
TRAESCS1B02G425000,0
TRAESCS1B02G426300,0
TRAESCS1B02G429300,0
TRAESCS1B02G429400,0
TRAESCS1B02G432500,0
TRAESCS1B02G434000,0
TRAESCS1B02G443100,0
TRAESCS1B02G443900,0
TRAESCS1B02G444600,0
TRAESCS1B02G448300,0
TRAESCS1B02G452000,0
TRAESCS1B02G462000,0
TRAESCS1B02G467700,0
TRAESCS1B02G471200,0
TRAESCS1B02G472200,0
TRAESCS1B02G476400,0
TRAESCS1B02G478700,0
TRAESCS1D02G001600,0
TRAESCS1D02G004600,0
TRAESCS1D02G005200,0
TRAESCS1D02G013200,0
TRAESCS1D02G016500,0
TRAESCS1D02G017500,0
TRAESCS1D02G020000,0
TRAESCS1D02G024400,0
TRAESCS1D02G034300,0
TRAESCS1D02G034900,0
TRAESCS1D02G037300,0
TRAESCS1D02G040000,0
TRAESCS1D02G041900,0
TRAESCS1D02G053300,0
TRAESCS1D02G057300,0
TRAESCS1D02G064500,0
TRAESCS1D02G067700,0
TRAESCS1D02G067800,0
TRAESCS1D02G068300,0
TRAESCS1D02G071800,0
TRAESCS1D02G072900,0
TRAESCS1D02G074600,0
TRAESCS1D02G077600,0
TRAESCS1D02G079800,0
TRAESCS1D02G081400,0
TRAESCS1D02G082900,0
TRAESCS1D02G085900,0
TRAESCS1D02G094700,0
TRAESCS1D02G098000,0
TRAESCS1D02G098100,0
TRAESCS1D02G099600,0
TRAESCS1D02G099700,0
TRAESCS1D02G102600,0
TRAESCS1D02G104800,0
TRAESCS1D02G106200,0
TRAESCS1D02G109200,0
TRAESCS1D02G109800,0
TRAESCS1D02G111600,0
TRAESCS1D02G113700,0
TRAESCS1D02G114100,0
TRAESCS1D02G115700,0
TRAESCS1D02G115900,0
TRAESCS1D02G117400,0
TRAESCS1D02G119000,0
TRAESCS1D02G119500,0
TRAESCS1D02G120000,0
TRAESCS1D02G121000,0
TRAESCS1D02G121200,0
TRAESCS1D02G123600,0
TRAESCS1D02G124000,0
TRAESCS1D02G124600,0
TRAESCS1D02G126300,0
TRAESCS1D02G127400,0
TRAESCS1D02G127800,0
TRAESCS1D02G133200,0
TRAESCS1D02G133600,0
TRAESCS1D02G138400,0
TRAESCS1D02G141400,0
TRAESCS1D02G141700,0
TRAESCS1D02G144000,0
TRAESCS1D02G144400,0
TRAESCS1D02G147400,0
TRAESCS1D02G148000,0
TRAESCS1D02G149800,0
TRAESCS1D02G153900,0
TRAESCS1D02G154900,0
TRAESCS1D02G155000,0
TRAESCS1D02G156000,0
TRAESCS1D02G157000,0
TRAESCS1D02G158700,0
TRAESCS1D02G162400,0
TRAESCS1D02G164100,0
TRAESCS1D02G165300,0
TRAESCS1D02G166600,0
TRAESCS1D02G167000,0
TRAESCS1D02G167100,0
TRAESCS1D02G167300,0
TRAESCS1D02G167600,0
TRAESCS1D02G171800,0
TRAESCS1D02G173800,0
TRAESCS1D02G176800,0
TRAESCS1D02G177400,0
TRAESCS1D02G184500,0
TRAESCS1D02G186500,0
TRAESCS1D02G188900,0
TRAESCS1D02G192700,0
TRAESCS1D02G192900,0
TRAESCS1D02G194200,0
TRAESCS1D02G194300,0
TRAESCS1D02G195500,0
TRAESCS1D02G198500,0
TRAESCS1D02G199700,0
TRAESCS1D02G200100,0
TRAESCS1D02G200700,0
TRAESCS1D02G201800,0
TRAESCS1D02G202200,0
TRAESCS1D02G202300,0
TRAESCS1D02G207600,0
TRAESCS1D02G208900,0
TRAESCS1D02G209400,0
TRAESCS1D02G210100,0
TRAESCS1D02G212200,0
TRAESCS1D02G214100,0
TRAESCS1D02G214700,0
TRAESCS1D02G217700,0
TRAESCS1D02G219800,0
TRAESCS1D02G220400,0
TRAESCS1D02G225400,0
TRAESCS1D02G226600,0
TRAESCS1D02G228900,0
TRAESCS1D02G229700,0
TRAESCS1D02G230300,0
TRAESCS1D02G231000,0
TRAESCS1D02G231600,0
TRAESCS1D02G234100,0
TRAESCS1D02G235900,0
TRAESCS1D02G236200,0
TRAESCS1D02G236800,0
TRAESCS1D02G239000,0
TRAESCS1D02G242400,0
TRAESCS1D02G243000,0
TRAESCS1D02G244300,0
TRAESCS1D02G244700,0
TRAESCS1D02G245700,0
TRAESCS1D02G248500,0
TRAESCS1D02G250700,0
TRAESCS1D02G251500,0
TRAESCS1D02G254500,0
TRAESCS1D02G254800,0
TRAESCS1D02G256700,0
TRAESCS1D02G258900,0
TRAESCS1D02G261400,0
TRAESCS1D02G262800,0
TRAESCS1D02G263400,0
TRAESCS1D02G263600,0
TRAESCS1D02G264300,0
TRAESCS1D02G264500,0
TRAESCS1D02G265200,0
TRAESCS1D02G265800,0
TRAESCS1D02G266600,0
TRAESCS1D02G267100,0
TRAESCS1D02G268600,0
TRAESCS1D02G268900,0
TRAESCS1D02G269400,0
TRAESCS1D02G269600,0
TRAESCS1D02G270500,0
TRAESCS1D02G270600,0
TRAESCS1D02G270700,0
TRAESCS1D02G271000,0
TRAESCS1D02G273200,0
TRAESCS1D02G274400,0
TRAESCS1D02G274800,0
TRAESCS1D02G275800,0
TRAESCS1D02G276200,0
TRAESCS1D02G276400,0
TRAESCS1D02G277300,0
TRAESCS1D02G278200,0
TRAESCS1D02G278600,0
TRAESCS1D02G280800,0
TRAESCS1D02G281800,0
TRAESCS1D02G281900,0
TRAESCS1D02G282200,0
TRAESCS1D02G284000,0
TRAESCS1D02G286000,0
TRAESCS1D02G286400,0
TRAESCS1D02G287300,0
TRAESCS1D02G287500,0
TRAESCS1D02G289200,0
TRAESCS1D02G289800,0
TRAESCS1D02G292100,0
TRAESCS1D02G293400,0
TRAESCS1D02G293900,0
TRAESCS1D02G294000,0
TRAESCS1D02G299400,0
TRAESCS1D02G307300,0
TRAESCS1D02G307400,0
TRAESCS1D02G309200,0
TRAESCS1D02G310000,0
TRAESCS1D02G310300,0
TRAESCS1D02G311000,0
TRAESCS1D02G314800,0
TRAESCS1D02G316900,0
TRAESCS1D02G320800,0
TRAESCS1D02G322100,0
TRAESCS1D02G323900,0
TRAESCS1D02G327000,0
TRAESCS1D02G327200,0
TRAESCS1D02G333000,0
TRAESCS1D02G333500,0
TRAESCS1D02G335200,0
TRAESCS1D02G336300,0
TRAESCS1D02G340400,0
TRAESCS1D02G341100,0
TRAESCS1D02G341900,0
TRAESCS1D02G343400,0
TRAESCS1D02G344200,0
TRAESCS1D02G344700,0
TRAESCS1D02G352300,0
TRAESCS1D02G352600,0
TRAESCS1D02G353100,0
TRAESCS1D02G354900,0
TRAESCS1D02G358500,0
TRAESCS1D02G358600,0
TRAESCS1D02G360600,0
TRAESCS1D02G361500,0
TRAESCS1D02G361800,0
TRAESCS1D02G361900,0
TRAESCS1D02G367000,0
TRAESCS1D02G371200,0
TRAESCS1D02G371400,0
TRAESCS1D02G371800,0
TRAESCS1D02G393000,0
TRAESCS1D02G393500,0
TRAESCS1D02G397600,0
TRAESCS1D02G399000,0
TRAESCS1D02G401900,0
TRAESCS1D02G403300,0
TRAESCS1D02G403500,0
TRAESCS1D02G404600,0
TRAESCS1D02G404700,0
TRAESCS1D02G410100,0
TRAESCS1D02G410200,0
TRAESCS1D02G412000,0
TRAESCS1D02G412200,0
TRAESCS1D02G414700,0
TRAESCS1D02G415900,0
TRAESCS1D02G419300,0
TRAESCS1D02G420600,0
TRAESCS1D02G421400,0
TRAESCS1D02G422000,0
TRAESCS1D02G426000,0
TRAESCS1D02G427900,0
TRAESCS1D02G428700,0
TRAESCS1D02G431700,0
TRAESCS1D02G434100,0
TRAESCS1D02G436900,0
TRAESCS1D02G445700,0
TRAESCS1D02G450100,0
TRAESCS1D02G453700,0
TRAESCS2A02G007100,0
TRAESCS2A02G007800,0
TRAESCS2A02G026900,0
TRAESCS2A02G028700,0
TRAESCS2A02G033700,0
TRAESCS2A02G035700,0
TRAESCS2A02G040100,0
TRAESCS2A02G041100,0
TRAESCS2A02G045100,0
TRAESCS2A02G048600,0
TRAESCS2A02G049700,0
TRAESCS2A02G072500,0
TRAESCS2A02G076700,0
TRAESCS2A02G082200,0
TRAESCS2A02G083000,0
TRAESCS2A02G087100,0
TRAESCS2A02G088900,0
TRAESCS2A02G095200,0
TRAESCS2A02G101400,0
TRAESCS2A02G101900,0
TRAESCS2A02G102000,0
TRAESCS2A02G102100,0
TRAESCS2A02G102600,0
TRAESCS2A02G104100,0
TRAESCS2A02G105500,0
TRAESCS2A02G106500,0
TRAESCS2A02G107000,0
TRAESCS2A02G114000,0
TRAESCS2A02G119300,0
TRAESCS2A02G119600,0
TRAESCS2A02G121000,0
TRAESCS2A02G121200,0
TRAESCS2A02G134100,0
TRAESCS2A02G136800,0
TRAESCS2A02G138300,0
TRAESCS2A02G141600,0
TRAESCS2A02G141900,0
TRAESCS2A02G142500,0
TRAESCS2A02G143100,0
TRAESCS2A02G145800,0
