geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
TRAESCS1B01G001100	18.1171	14.5599	17.2717	20.4445	34.0257	46.4434
TRAESCS1B01G018900	0.5382	0.5807	0.781	0.6583	2.8654	6.44
TRAESCS1B01G024500	19.1006	18.2173	29.7736	19.3183	38.7928	63.2138
TRAESCS1B01G080500	11.3996	14.3307	11.2896	14.0559	24.8233	37.4152
TRAESCS1B01G090400	7.2522	6.5274	7.1519	7.382	10.916	13.0477
TRAESCS1B01G093700	1.4066	1.0837	1.1706	1.5846	2.578	3.5721
TRAESCS1B01G125100	9.0929	9.2433	9.4776	8.4912	15.0698	23.4134
TRAESCS1B01G141700	4.3762	6.7253	14.9028	4.351	13.9321	22.3342
TRAESCS1B01G142400	14.5376	19.9837	24.467	18.3261	38.565	70.4858
TRAESCS1B01G157000	2.1298	18.0509	25.5762	1.9826	8.9195	26.0693
TRAESCS1B01G164000	4.6599	2.9175	6.6917	3.1387	29.4499	86.0426
TRAESCS1B01G199600	0.1055	0.0494	0.2951	0.178	15.736	108.6248
TRAESCS1B01G223300	5.9204	6.1346	11.8203	6.2791	20.5232	60.1758
TRAESCS1B01G232300	8.6252	13.3312	22.8582	9.579	17.532	29.6793
TRAESCS1B01G263000	4.2201	3.2089	5.2491	4.0689	7.3486	11.1966
TRAESCS1B01G267900	0.0641	0.0724	0.0265	0.0399	1.5218	4.9749
TRAESCS1B01G288800	0.1669	0.1496	0.4228	0.1507	1.7225	5.8293
TRAESCS1B01G294300	0.7083	2.1112	5.1543	0.9545	26.209	118.5751
TRAESCS1B01G299800	0.7027	1.1337	0.9207	0.9484	2.4246	6.1352
TRAESCS1B01G304800	0.1217	0.16	0	0.4639	6.0666	12.4851
TRAESCS1B01G308900	0.2675	0.2839	0.6486	0.4999	9.5196	53.3879
TRAESCS1B01G352100	0.5753	0.6768	1.0839	0.5903	1.8097	5.1398
TRAESCS1B01G352400	0.1173	0.1531	0.1972	0.1848	6.4186	19.7589
TRAESCS1B01G361600	0.4161	0.3744	0.4605	0.6503	2.497	6.4707
TRAESCS1B01G364500	69.3726	61.8849	78.9249	83.5422	169.173	271.6633
TRAESCS1B01G374100	1.6851	1.079	1.524	1.6435	4.6664	9.1894
TRAESCS1B01G388800	6.757	8.3209	9.0037	7.2585	14.0444	21.7987
TRAESCS1B01G433400	10.8334	10.2	11.7187	11.5884	16.7458	24.4388
TRAESCS1B01G459100	45.5095	57.9114	103.6049	44.7819	90.8698	119.4203
TRAESCS1D01G017500	0.2263	0.352	1.2161	0.4401	2.3361	7.3983
TRAESCS1D01G020000	13.4715	13.7503	26.0924	13.0526	31.5888	73.2352
TRAESCS1D01G074400	4.3498	3.5355	3.3308	3.8379	8.0367	10.3038
TRAESCS1D01G083600	31.9979	30.027	30.244	31.926	62.4282	92.2439
TRAESCS1D01G104800	1.3259	1.4805	1.6535	1.2229	4.6804	9.9945
TRAESCS1D01G120000	0.4365	0.2951	0.5823	0.3288	5.2816	25.7391
TRAESCS1D01G139400	2.5663	12.966	15.2803	3.195	16.4379	55.2306
TRAESCS1D01G141400	0.5228	0.2345	0.5886	0.4564	3.3609	10.6635
TRAESCS1D01G144400	0.4858	0	1.726	0.2361	17.7421	69.277
TRAESCS1D01G164600	0.5584	0.586	0.235	0.7039	2.8484	8.0878
TRAESCS1D01G192900	5.6212	4.4326	6.1876	5.1437	12.1746	27.4683
TRAESCS1D01G211800	5.0812	6.4567	7.9314	4.6871	8.5572	11.9451
TRAESCS1D01G222600	3.163	4.4207	9.8408	3.443	13.644	29.9162
TRAESCS1D01G223600	5.0239	6.8614	7.3741	5.4368	9.5121	16.4166
TRAESCS1D01G256700	0.1168	0.063	0.0311	0.1069	2.6086	7.8617
TRAESCS1D01G284000	1.898	3.1179	7.0928	1.4087	20.5318	167.2813
TRAESCS1D01G296500	0.3194	0	0.3147	0.9983	13.5892	28.6994
TRAESCS1D01G305900	30.0966	47.1503	63.5909	33.4992	62.4566	91.1169
TRAESCS1D01G309200	0.6065	0.8918	3.0664	1.1032	6.6495	24.4183
