Gene Long name,Gene Long Name,Gene Short Name,R1M-A2_V2,R2M-A2_V2,R3M-A2_V2,R1M-A4_V2,R2M-A4_V2,R3M-A4_V2,R1M-A6_V2,R2M-A6_V2,R3M-A6_V2,R1M-B2_V2,R2M-B2_V2,R3M-B2_V2,R1M-B4_V2,R2M-B4_V2,R3M-B4_V2,R1M-B6_V2,R2M-B6_V2,R3M-B6_V2,R1T-A2_V2,R2T-A2_V2,R3T-A2_V2,R1T-A4_V2,R2T-A4_V2,R3T-A4_V2,R1T-A6_V2,R2T-A6_V2,R3T-A6_V2,R1T-B2_V2,R2T-B2_V2,R3T-B2_V2,R1T-B4_V2,R2T-B4_V2,R3T-B4_V2,R1T-B6_V2,R2T-B6_V2,R3T-B6_V2
TraesCS4D01G243100,TraesCS4D01G243100,Lr67,0.626737,0.0955289,2.57058,2.53022,2.22278,5.72664,5.05989,9.22869,7.63124,0.660683,1.19667,1.54459,3.2387,2.6952,3.22339,4.91407,10.5484,8.36987,2.82568,1.08434,1.15675,2.2329,4.04574,1.72271,3.48288,3.61707,3.92704,2.3143,2.02441,3.23591,5.0328,3.82634,10.5805,22.8709,16.7403,41.0811
TraesCS1A01G261400,TraesCS1A01G261400,MLO,1.80479,0.691379,3.08069,0.832983,0.810766,1.00352,2.57389,1.82756,2.44247,1.88929,1.68701,1.43711,2.3565,1.43942,1.50746,1.25568,1.31416,5.0549,1.25127,1.87331,1.56099,2.18549,1.9559,1.70939,3.31209,1.50031,2.02954,1.95662,1.73512,1.09844,2.82929,3.12238,5.72134,8.11377,6.68525,10.8271
TraesCS1B01G272200,TraesCS1B01G272200,MLO,0.764962,1.16142,3.09223,1.6752,1.97123,3.29816,3.66427,4.2867,2.49341,0.9733,0.968574,2.17635,2.32837,1.29954,2.6561,2.95155,3.8023,7.4232,0.979594,1.54414,1.79701,3.14216,3.01452,3.76467,5.53183,4.92796,6.16487,2.29749,2.22688,1.95487,3.60421,2.82816,4.26191,5.55251,5.88112,6.93497
TraesCS3D01G246000,TraesCS3D01G246000,PMR4,0.690916,0.62955,0.674756,0.577088,0.862855,0.853127,1.80831,1.2544,1.48475,0.692398,0.615665,0.778477,0.639403,0.638547,1.26169,1.00488,1.31353,2.43702,0.553438,0.315044,0.474543,1.07632,1.07192,1.30517,4.53039,5.72504,7.20406,0.577305,0.718201,0.759678,1.37708,1.69456,2.57921,5.77798,4.98949,10.7254
TraesCS2A01G231900,TraesCS2A01G231900,VAD1,2.45239,2.00175,3.45106,1.29605,1.78892,1.62213,2.0869,1.98989,2.26432,2.10578,3.09198,3.73299,3.40947,3.04232,1.93034,1.39686,1.1486,5.00482,2.35064,2.22768,2.64559,3.02358,4.52432,7.16529,8.53514,9.50481,10.4848,3.00254,2.66503,1.69591,8.13594,3.57078,5.46684,6.16262,8.20446,8.54625
TraesCS2B01G253500,TraesCS2B01G253500,VAD1,2.15022,2.58256,5.23159,1.77784,2.23337,2.70878,2.99758,1.79088,2.4776,2.12838,2.94227,4.05337,2.92601,3.34757,3.1879,3.33845,2.53349,7.37974,1.76812,2.74304,2.5161,4.15633,5.10388,7.69007,13.0952,14.8915,16.8377,4.28232,3.07272,2.12679,6.08429,6.17873,7.66694,11.3309,10.0821,12.2785
TraesCS2D01G236800,TraesCS2D01G236800,VAD1,1.5867,2.45989,3.15096,1.29604,0.736611,1.09357,1.77382,0.8528,1.08675,1.81009,2.36488,2.3642,1.73705,1.29266,1.36998,1.468,1.32876,3.93821,1.41736,1.99681,1.39428,3.35342,3.78779,3.77695,8.42269,7.31139,8.70425,2.7783,2.58993,0.972286,4.20584,3.62485,3.73752,5.56341,5.82866,8.2371
TraesCS6A01G146900,TraesCS6A01G146900,WRKY18,0.396989,0,1.85819,0.510697,0.289864,0.10765,0.318495,2.09175,0.873267,0.23148,0.120625,0.171227,1.59675,1.18781,0.134723,0.504907,0.705039,1.80696,1.70806,0.740181,0.93563,1.88955,1.87979,1.98528,4.01388,4.22231,4.35169,1.11104,0.827106,0.267736,3.41235,1.63658,6.59318,6.933,7.90394,14.014
TraesCS6B01G175100,TraesCS6B01G175100,WRKY18,0.136862,0.292885,1.28113,1.41286,1.20061,0.747826,0.55144,1.80943,1.72285,0.199681,0.666107,1.77707,2.76005,1.31348,0,0.696041,0.780698,1.55799,1.16485,0.729619,1.49595,1.76969,1.59234,1.78759,2.12591,3.60047,6.36816,0.937593,0.927777,0.960671,4.75165,2.45929,7.91496,6.138,6.52681,8.38293
TraesCS6D01G136200,TraesCS6D01G136200,WRKY18,0.9221,0.414445,1.00962,2.87137,1.98426,1.15797,1.66121,4.98538,2.43994,0.622623,1.30385,2.67935,4.03361,2.78764,2.63506,2.79824,1.93029,2.76118,1.96864,1.03409,1.541,1.55244,2.47506,5.00375,9.05972,7.47272,11.7047,1.69012,1.21328,2.46123,4.35732,3.71064,11.3228,9.31047,8.14321,19.3831
