geneid	Sr9b_D2_mock_R1	Sr9b_D2_mock_R2	Sr9b_D2_mock_R3	Sr9b_D2_treated_R1	Sr9b_D2_treated_R2	Sr9b_D2_treated_R3	Sr9b_D4_mock_R1	Sr9b_D4_mock_R2	Sr9b_D4_mock_R3	Sr9b_D4_treated_R1	Sr9b_D4_treated_R2	Sr9b_D4_treated_R3	Sr9b_D6_mock_R1	Sr9b_D6_mock_R2	Sr9b_D6_mock_R3	Sr9b_D6_treated_R1	Sr9b_D6_treated_R2	Sr9b_D6_treated_R3	W2691_D2_mock_R1	W2691_D2_mock_R2	W2691_D2_mock_R3	W2691_D2_treated_R1	W2691_D2_treated_R2	W2691_D2_treated_R3	W2691_D4_mock_R1	W2691_D4_mock_R2	W2691_D4_mock_R3	W2691_D4_treated_R1	W2691_D4_treated_R2	W2691_D4_treated_R3	W2691_D6_mock_R1	W2691_D6_mock_R2	W2691_D6_mock_R3	W2691_D6_treated_R1	W2691_D6_treated_R2	W2691_D6_treated_R3
TraesCS6A02G130000	0.0414921934024152	0	0.124223100654008	0.0437615587022087	0	0	0	0	0	0.208585354342528	0.0534506983670615	0.056777120556206	0	0	0.0813576454575089	0.0869907700052815	0.155938930949478	0	0.035460990707208	0	0	0.0430449353192974	0	0	0.0897167563186849	0	0	0.0550227076761273	0.105349120947682	0.224745828453067	0.153292993308734	0	0	0	0	0.384262806125042
TraesCS6B02G152300	0.0789160050180079	0.05476033942313	0.157510606705977	0.0832322203997613	0.0935202490445485	0.143581229575279	0.238483110987471	0.161143410818725	0.12268061613548	0.0440798390684465	0.0677736418132335	0.179978576020551	0.30985772283701	0.309578104717545	0.103158688108052	0.055150647863457	0.0494312963805037	0.0638701764696481	0.0674449695501194	0.0948350124301412	0.194716215513206	0.191028226209402	0.143389876133262	0.133922081734883	0	0.130947794351552	0.193541087984952	0.0348834476962992	0.0333947628682768	0	0.14577767089644	0.114849817896678	0.055438592687985	0	0.271893507135088	0
TraesCS6B02G152700	0.166483981324447	0.297062586313289	0.0712049826157108	0.451516168764053	0.211386009066186	0.540900026229904	0.107809792160233	0.0485648300388323	0.166378721825088	1.79342446593958	0.306380699562856	0.618350881252471	0.0700378667486772	0.335878387249426	0.466343997208071	0.448769883379831	0.446922867361701	0.346481413560153	0.182936933001522	0.214357799537087	0.132036486595116	0.394775381386337	0.129642998028658	0.121082887066681	0.205703449370591	0.118393746495729	0.131239636113389	0.283852345548373	0.21135230083281	0.193237281033499	0.13180187339785	0.259597733059847	0.200494638990564	0.189911172868005	0.409711507767812	0.110130186277535
TraesCS6B02G152800	0.0519634094030248	0.0540866317772303	0	0.0822082277828557	0.0230924211165995	0	0	0.053053629786901	0.0605856481262125	0.0870750638001931	0.0669398336016511	0.319975791399565	0.153022796561936	0	0.203779086729533	0.59919352147171	0.439408359844231	0.820097095534412	0.133230409881024	0.0936682725295812	0.0961603266201655	0.0539080104787415	0.212438660334342	0.066137229954561	0	0.064668382352478	0.0477899957792497	0.103362846754365	0.164919562366837	0.105549006974607	0.0479947305548638	0.113436839064511	0.109513081202575	0.0691548256195479	0.358064593413232	0.360928235090635
TraesCS6B02G152900	0.0251640708535882	0	0	0	0.0223657118666729	0	0	0	0	0.0421674231968549	0	0.0344340312569719	0.0741036152003267	0	0	0	0	0	0.0215062837011329	0	0	0.0783173204480342	0.0457229557157799	0.0640559177989485	0.108822341150375	0.062633294243005	0	0	0	0	0	0	0.0530333741845649	0.133957101872268	0	0
TraesCS6B02G153100	0.0467434755413134	0.0486534116724801	0.139944866514306	0.0739500800430342	0.020772694364251	0.0212614845724649	0.0529718090594334	0.0477241788945733	0.0544995756413433	0.0783280227714564	0.30107728790754	0.255851496717523	0	0.0550107290505468	0.0916543281686465	0.588002310308117	0.395268019496655	1.02145159065733	0.0199744797258252	0	0.129750951497982	0	0	0.0594934787048691	0.0505356870864329	0	0	0.123972843061422	0.0296705455563492	0.0316487279710086	0.0431734664752889	0	0	0.0622079447258702	0.161047781089663	0.324671539511156
TraesCS6B02G153300	0	0	0	0	0	0	0	0	0	0	0	0.0653537746036932	0	0	0.0468236956315324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0323369432791633	0	0	0	0	0	0
TraesCS6B02G153400	0.125360736535455	0	0.214466496889068	0.113329020252947	0.111420053180548	0.065166750713952	0.162359343444612	0.109706462116423	0.0417604924027166	0.0600191242110485	0.0230701535678663	0.122529445862219	0.105475595803727	0.0421521655086164	0.0702304528085041	0.112639711976832	0.0673056703489267	0.0869656545016169	0.122444125338218	0	0.132562833392444	0.0557365926998078	0.0650799017428778	0.0455870882704846	0.154892595166418	0.133723921759527	0.131762806366794	0.0237486572596462	0.0682054811093116	0.145505697808003	0.165409106174079	0.0390948880011416	0.075485207091142	0.0476670574503081	0.185105146953677	0
TraesCS6B02G153500	0.453270982960344	0.277524478364875	0.239478330979158	0.337455593488705	0.308073381099082	0.436600352670959	0.543882776344768	0.381113643564692	0.310871648689048	0.491470941196623	0.412170810975527	0.437821628892466	0.706659175447078	0.502059719453874	0.784209742148697	0.614905620934063	0.450930560280419	0.841601745821976	0.341809970316322	0.192248898620118	0.394727400952962	0.248947157487617	0.290678991371475	0.226238285265953	0	0.730005339148886	0.83373352947354	0.495008431958426	0.406185830523437	0.46937245898603	0.689545529953012	0.407439860608854	0.674308450784387	0.70968208874706	0.82677103027513	0.617320872578673
TraesCS6B02G153700	0.0231288974736856	0.0481478861931536	0.0692453958995244	0.0243939045279091	0.041113718022814	0.0210405705232705	0.104842827927797	0.0472283084595553	0	0.0387570839998051	0.0893846977747405	0.0632982781825717	0	0.0544391488834954	0.136053012833324	0.145473191626355	0.173849355762266	0.112315373505458	0	0	0	0.11997219405898	0.126075176122787	0.019625107081902	0	0.115135508035583	0.0850852494356763	0.0613423615485048	0.088086775518597	0	0.0427248794886038	0	0.0487442386144569	0	0	0
TraesCS6B02G154300	0.194021210609645	0.0673163026045622	0.0968130564578745	0.0682109886328105	0.201186032421414	0	0.219873563163066	0.0660306267862098	0.150809976097443	0.162560631476215	0.124970125157382	0.309744047949934	0	0	0	0.677961046173867	0.486122933544898	0.471089570144801	0.110545844607472	0	0.119681285977984	0.0335469951349844	0.0587558830222802	0.0548763300499826	0.069920597288021	0.160972730315945	0	0.0857637021885455	0.0410518266747447	0.131366451554575	0.0597343132543848	0.0705918295709659	0.13630014425291	0	0	0.14973727329372
TraesCS6B02G158400	0.827296914212219	0.38271121145942	0.825612237047566	0.581696611767082	0.571898241715784	0.334488712648957	0.41668003376215	0.187700900027317	0	1.23226764395809	1.3025624987107	2.38989855109075	0	0.216359162024695	0.36047974605615	1.73447556489325	1.55460323739533	2.00870279323461	0.471362052815678	0.165696665133243	0.680420168272153	1.33506557201258	1.00212879949385	0.935959906053386	0.198758662156908	0.915173089541765	0.50723533466592	0.975179238724221	0.933562522683702	1.2447557742169	0.169802785556828	0.200666729818359	0.774902829045005	1.2233303415958	0.950110012098169	2.1282412671825
TraesCS6D02G114800	2.22417850149363	1.870754203315	2.28691136474059	1.42171348647928	1.63738241818027	1.30802787357759	1.32391953989676	1.37626846501208	2.20032001951007	1.27999868745019	1.41813479996515	1.29119163687149	1.91862870812041	1.42775800537409	1.23345824727996	1.27175949766314	1.30874278723079	0.818238635542013	1.55526333629527	2.34886096389645	1.62142678396768	1.23528162036734	1.36751673238804	1.37253694897518	1.21445554618514	1.90124338514732	2.52077236329338	1.54922091825692	1.25493620070521	1.33860479112731	1.95055507511434	2.25605017353887	1.51514006508309	1.01657216384	0.696643674991783	0.624191219442069
